id,serviceArea,serviceAreaDisplayName,urls,ips,tcpPorts,udpPorts,expressRoute,category,required,notes
71,Common,"Microsoft 365 Common and Office Online","*.office365.com","2603:1020:0:7::19c/128,2603:1020:0:7::4e1/128,2603:1020:200::682f:a1d8/128,2603:1020:201::3c4/128,2603:1020:201::5f2/128,2603:1020:201:a::2b1/128,2603:1020:300::33/128,2603:1020:400::26/128,2603:1020:600::1d3/128,2603:1020:600::1f0/128,2603:1020:600::21f/128,2603:1020:700::1cb/128,2603:1020:700::215/128,2603:1030:603::6a/128,2603:1030:603::72/128,2603:1030:603::3c9/128,2603:1030:a02::118/128,2603:1030:a02::367/128,2603:1040:200::111/128,2603:1040:200::325/128,2603:1040:400::5d/128,2603:1040:400::5e/128,2603:1040:400::7b/128,2603:1040:400::2f4/128,2603:1040:401::c/128,2603:1040:401::57/128,2603:1040:401::597/128,2603:1040:601::2f/128,2603:1040:601::4e/128,2603:1040:601::1e7/128,2603:1040:601::26f/128,2603:1040:601::36c/128,2801:80:1d0:1c00::/64,2a01:111:2003::/48,2a01:111:202c::/48,2a01:111:202d::/48,2a01:111:202e::/48,2a01:111:202e::156/128,2a01:111:202e::190/128,2a01:111:202e::191/128,2a01:111:f100:1002::4134:c0cb/128,2a01:111:f100:1002::4134:c440/128,2a01:111:f100:1002::4134:d93c/128,2a01:111:f100:1002::4134:d9ee/128,2a01:111:f100:1003::4134:3644/128,2a01:111:f100:1003::4134:36d5/128,2a01:111:f100:1004::4134:f0c8/128,2a01:111:f100:2000::a83e:3349/128,2a01:111:f100:2002::8975:2c33/128,2a01:111:f100:2002::8975:2cbc/128,2a01:111:f100:2002::8975:2d11/128,2a01:111:f100:2002::8975:2d43/128,2a01:111:f100:2002::8975:2d92/128,2a01:111:f100:2002::8975:2d98/128,2a01:111:f100:3000::a83e:1a8c/128,2a01:111:f100:3002::8987:320c/128,2a01:111:f100:3002::8987:342a/128,2a01:111:f100:3002::8987:3552/128,2a01:111:f100:3002::8987:358e/128,2a01:111:f100:4001::4625:609b/128,2a01:111:f100:4001::4625:61ea/128,2a01:111:f100:4001::4625:a065/128,2a01:111:f100:4001::4625:a1e3/128,2a01:111:f100:4001::4625:a248/128,2a01:111:f100:4001::4625:a4b4/128,2a01:111:f100:4002::9d37:c021/128,2a01:111:f100:4002::9d37:c08f/128,2a01:111:f100:4002::9d37:c11a/128,2a01:111:f100:6000::4134:a2af/128,2a01:111:f100:6000::4134:a591/128,2a01:111:f100:6000::4134:b0ba/128,2a01:111:f100:6000::4134:b84b/128,2a01:111:f100:7000::6fdd:50bb/128,2a01:111:f100:7000::6fdd:568a/128,2a01:111:f100:7000::6fdd:6095/128,2a01:111:f100:7000::6fdd:682b/128,2a01:111:f100:7000::6fdd:699d/128,2a01:111:f100:7000::6fdd:6b20/128,2a01:111:f100:7000::6fdd:6b76/128,2a01:111:f100:7000::6fdd:6cac/128,2a01:111:f100:7000::6fdd:6fc4/128,2a01:111:f100:8000::4134:902e/128,2a01:111:f100:8000::4134:941b/128,2a01:111:f100:8001::d5c7:8077/128,2a01:111:f100:9001::1761:91cb/128,2a01:111:f100:9001::1761:9642/128,2a01:111:f100:a000::5ef5:581c/128,2a01:111:f100:a000::5ef5:6c55/128,2a01:111:f100:a001::a83f:5c85/128,2a01:111:f100:a004::bfeb:8aa2/128,2a01:111:f100:a004::bfeb:8c89/128,2a01:111:f100:a004::bfeb:8cb8/128,2a01:111:f100:a004::bfeb:8deb/128,2a01:111:f102:8001::1761:4237/128,2a01:111:f102:8001::1761:4daf/128,2a01:111:f102:8001::1761:4f8a/128,2a01:111:f406:1000::/64,2a01:111:f406:1801::/64","443",,False,Default,True,
72,Common,"Microsoft 365 Common and Office Online","*.cloudapp.net",,"443",,False,Default,False,"Azure Rights Management (RMS) with Office 2010 clients"
73,Common,"Microsoft 365 Common and Office Online","*.aadrm.com,*.azurerms.com,*.informationprotection.azure.com,ecn.dev.virtualearth.net,informationprotection.hosting.portal.azure.net",,"443",,False,Default,True,
74,Common,"Microsoft 365 Common and Office Online","testconnectivity.microsoft.com",,"80,443",,False,Default,False,"Remote Connectivity Analyzer - Initiate connectivity tests."
75,Common,"Microsoft 365 Common and Office Online","*.hockeyapp.net,*.sharepointonline.com,*.staffhub.office.com,api.office.com,cdn.forms.office.net,dc.applicationinsights.microsoft.com,dc.services.visualstudio.com,forms.microsoft.com,forms.office.com,mem.gfx.ms,office365servicehealthcommunications.cloudapp.net,securescore.office.com,signup.microsoft.com,staffhub.ms,staffhub.office.com,staffhub.uservoice.com,staffhubweb.azureedge.net,watson.telemetry.microsoft.com",,"443",,False,Default,False,"Graph.windows.net, Office 365 Management Pack for Operations Manager, SecureScore, Azure AD Device Registration, Forms, StaffHub, Application Insights, captcha services"
76,Common,"Microsoft 365 Common and Office Online","vortex.data.microsoft.com",,"443",,False,Default,False,"Microsoft Azure RemoteApp"
77,Common,"Microsoft 365 Common and Office Online","nexus.officeapps.live.com,nexusrules.officeapps.live.com,portal.microsoftonline.com","13.107.6.171/32,13.107.140.6/32,52.108.0.0/14,52.238.106.116/32,52.247.150.191/32,2603:1010:2::cb/128,2603:1010:200::c7/128,2603:1020:200::682f:a0fd/128,2603:1020:201:9::c6/128,2603:1020:600::a1/128,2603:1020:700::a2/128,2603:1020:800:2::6/128,2603:1020:900::8/128,2603:1030:7::749/128,2603:1030:800:5::bfee:ad3c/128,2603:1030:f00::17/128,2603:1030:1000::21a/128,2603:1040:200::4f3/128,2603:1040:401::762/128,2603:1040:601::60f/128,2603:1040:a01::1e/128,2603:1040:c01::28/128,2603:1040:e00:1::2f/128,2603:1040:f00::1f/128,2603:1050:1::cd/128,2620:1ec:8fc::6/128,2620:1ec:a92::171/128,2a01:111:f100:2000::a83e:3019/128,2a01:111:f100:2002::8975:2d79/128,2a01:111:f100:2002::8975:2da8/128,2a01:111:f100:7000::6fdd:6cd5/128,2a01:111:f100:a004::bfeb:88cf/128","443",,True,Allow,True,
78,Common,"Microsoft 365 Common and Office Online","*.microsoft.com,*.msocdn.com,*.office.net,*.onmicrosoft.com",,"80,443",,False,Default,False,"Some Office 365 features require endpoints within these domains (including CDNs). Many specific FQDNs within these wildcards have been published recently as we work to either remove or better explain our guidance relating to these wildcards."
79,Common,"Microsoft 365 Common and Office Online","o15.officeredir.microsoft.com,ocsredir.officeapps.live.com,officepreviewredir.microsoft.com,officeredir.microsoft.com,r.office.microsoft.com",,"80,443",,False,Default,True,
80,Common,"Microsoft 365 Common and Office Online","ocws.officeapps.live.com",,"443",,False,Default,True,
81,Common,"Microsoft 365 Common and Office Online","odc.officeapps.live.com",,"80,443",,False,Default,True,
82,Common,"Microsoft 365 Common and Office Online","roaming.officeapps.live.com",,"80,443",,False,Default,True,
83,Common,"Microsoft 365 Common and Office Online","activation.sls.microsoft.com",,"443",,False,Default,True,
84,Common,"Microsoft 365 Common and Office Online","crl.microsoft.com",,"80,443",,False,Default,True,
85,Common,"Microsoft 365 Common and Office Online","ols.officeapps.live.com",,"443",,False,Default,True,
86,Common,"Microsoft 365 Common and Office Online","office15client.microsoft.com,officeclient.microsoft.com",,"443",,False,Default,True,
87,Common,"Microsoft 365 Common and Office Online","ocsa.officeapps.live.com",,"80,443",,False,Default,True,
88,Common,"Microsoft 365 Common and Office Online","insertmedia.bing.office.net",,"80,443",,False,Default,True,
89,Common,"Microsoft 365 Common and Office Online","go.microsoft.com,support.office.com",,"80,443",,False,Default,True,
90,Common,"Microsoft 365 Common and Office Online","mrodevicemgr.officeapps.live.com",,"443",,False,Default,True,
91,Common,"Microsoft 365 Common and Office Online","ajax.aspnetcdn.com,cdn.odc.officeapps.live.com",,"80,443",,False,Default,True,
92,Common,"Microsoft 365 Common and Office Online","officecdn.microsoft.com,officecdn.microsoft.com.edgesuite.net",,"80,443",,False,Default,True,
93,Common,"Microsoft 365 Common and Office Online","ajax.microsoft.com,c.bing.net,excelbingmap.firstpartyapps.oaspapps.com,excelcs.officeapps.live.com,ocos-office365-s2s.msedge.net,omextemplates.content.office.net,peoplegraph.firstpartyapps.oaspapps.com,pptcs.officeapps.live.com,store.office.com,templateservice.office.com,tse1.mm.bing.net,uci.officeapps.live.com,watson.microsoft.com,wikipedia.firstpartyapps.oaspapps.com,wordcs.officeapps.live.com,www.bing.com",,"80,443",,False,Default,False,"ProPlus: auxiliary URLs"
95,Common,"Microsoft 365 Common and Office Online","*.acompli.net,*.outlookmobile.com",,"443",,False,Default,False,"Outlook for Android and iOS"
96,Common,"Microsoft 365 Common and Office Online","*.manage.microsoft.com,api.office.com,go.microsoft.com,login.windows-ppe.net,secure.aadcdn.microsoftonline-p.com,vortex.data.microsoft.com",,"443",,False,Default,False,"Outlook for Android and iOS: Authentication"
97,Common,"Microsoft 365 Common and Office Online","account.live.com,apis.live.net,auth.gfx.ms,login.live.com",,"443",,False,Default,False,"Outlook for Android and iOS: Consumer Outlook.com and OneDrive integration"
98,Common,"Microsoft 365 Common and Office Online","accounts.google.com,mail.google.com,www.googleapis.com",,"443",,False,Default,False,"Outlook for Android and iOS: Google integration"
99,Common,"Microsoft 365 Common and Office Online","api.login.yahoo.com,social.yahooapis.com",,"443",,False,Default,False,"Outlook for Android and iOS: Yahoo integration"
100,Common,"Microsoft 365 Common and Office Online","api.dropboxapi.com,www.dropbox.com",,"443",,False,Default,False,"Outlook for Android and iOS: DropBox integration"
101,Common,"Microsoft 365 Common and Office Online","app.box.com",,"443",,False,Default,False,"Outlook for Android and iOS: Box integration"
102,Common,"Microsoft 365 Common and Office Online","graph.facebook.com,m.facebook.com",,"443",,False,Default,False,"Outlook for Android and iOS: Facebook integration"
103,Common,"Microsoft 365 Common and Office Online","www.evernote.com",,"443",,False,Default,False,"Outlook for Android and iOS: Evernote integration"
104,Common,"Microsoft 365 Common and Office Online","a.wunderlist.com,www.wunderlist.com",,"443",,False,Default,False,"Outlook for Android and iOS: WunderList integration"
105,Common,"Microsoft 365 Common and Office Online","bit.ly,www.acompli.com",,"443",,False,Default,False,"Outlook for Android and iOS: Outlook Privacy"
106,Common,"Microsoft 365 Common and Office Online","by.uservoice.com,outlook.uservoice.com",,"443",,False,Default,False,"Outlook for Android and iOS: User voice integration"
107,Common,"Microsoft 365 Common and Office Online","api.diagnostics.office.com",,"443",,False,Default,False,"Outlook for Android and iOS: Log upload integration"
109,Common,"Microsoft 365 Common and Office Online","data.flurry.com",,"443",,False,Default,False,"Outlook for Android and iOS: Flurry log integration"
110,Common,"Microsoft 365 Common and Office Online","app.adjust.com",,"443",,False,Default,False,"Outlook for Android and iOS: Adjust integration"
111,Common,"Microsoft 365 Common and Office Online","rink.hockeyapp.net,sdk.hockeyapp.net",,"443",,False,Default,False,"Outlook for Android and iOS: Hockey log integration"
112,Common,"Microsoft 365 Common and Office Online","acompli.helpshift.com",,"443",,False,Default,False,"Outlook for Android and iOS: Helpshift integration"
113,Common,"Microsoft 365 Common and Office Online","play.google.com",,"443",,False,Default,False,"Outlook for Android and iOS: Play Store integration (Android only)"
114,Common,"Microsoft 365 Common and Office Online","*.appex.bing.com,*.appex-rf.msn.com,*.itunes.apple.com,c.bing.com,c.live.com,cl2.apple.com,client.hip.live.com,d.docs.live.net,directory.services.live.com,docs.live.net,en-us.appex-rf.msn.com,foodanddrink.services.appex.bing.com,odcsm.officeapps.live.com,office.microsoft.com,officeimg.vo.msecnd.net,partnerservices.getmicrosoftkey.com,roaming.officeapps.live.com,sas.office.microsoft.com,signup.live.com,view.atdmt.com,watson.telemetry.microsoft.com,weather.tile.appex.bing.com",,"80,443",,False,Default,False,"Office Mobile URLs"
115,Common,"Microsoft 365 Common and Office Online","api.meetup.com,secure.meetup.com",,"443",,False,Default,False,"Outlook for Android and iOS: Meetup integration"
116,Common,"Microsoft 365 Common and Office Online","account.live.com,auth.gfx.ms,c.bing.com,c.live.com,cl2.apple.com,client.hip.live.com,directory.services.live.com,docs.live.net,en-us.appex-rf.msn.com,foodanddrink.services.appex.bing.com,go.microsoft.com,login.live.com,office.microsoft.com,officeimg.vo.msecnd.net,p100-sandbox.itunes.apple.com,partnerservices.getmicrosoftkey.com,roaming.officeapps.live.com,sas.office.microsoft.com,signup.live.com,view.atdmt.com,watson.telemetry.microsoft.com,weather.tile.appex.bing.com",,"80,443",,False,Default,False,"Office for iPad URLs"
117,Common,"Microsoft 365 Common and Office Online","*.yammer.com,*.yammerusercontent.com",,"443",,False,Default,False,"Yammer"
118,Common,"Microsoft 365 Common and Office Online","*.assets-yammer.com",,"443",,False,Default,False,"Yammer CDN"
119,Common,"Microsoft 365 Common and Office Online","tasks.office.com",,"443",,False,Default,False,"Planner"
120,Common,"Microsoft 365 Common and Office Online","ajax.aspnetcdn.com",,"443",,False,Default,False,"Planner CDNs"
121,Common,"Microsoft 365 Common and Office Online","www.outlook.com",,"80,443",,False,Default,False,"Planner: auxiliary URLs"
122,Common,"Microsoft 365 Common and Office Online","eus-www.sway-cdn.com,eus-www.sway-extensions.com,wus-www.sway-cdn.com,wus-www.sway-extensions.com",,"443",,False,Default,False,"Sway CDNs"
123,Common,"Microsoft 365 Common and Office Online","www.google-analytics.com",,"443",,False,Default,False,"Sway website analytics"
124,Common,"Microsoft 365 Common and Office Online","sway.com,sway.office.com,www.sway.com",,"443",,False,Default,False,"Sway"
125,Common,"Microsoft 365 Common and Office Online","*.entrust.net,*.geotrust.com,*.omniroot.com,*.public-trust.com,*.symcb.com,*.symcd.com,*.verisign.com,*.verisign.net,aia.entrust.net,apps.identrust.com,cacert.a.omniroot.com,cacert.omniroot.com,cacerts.digicert.com,cdp1.public-trust.com,cert.int-x3.letsencrypt.org,crl.entrust.net,crl.globalsign.com,crl.globalsign.net,crl.identrust.com,crl.microsoft.com,crl3.digicert.com,crl4.digicert.com,evintl-aia.verisign.com,evintl-crl.verisign.com,evintl-ocsp.verisign.com,evsecure-aia.verisign.com,evsecure-crl.verisign.com,evsecure-ocsp.verisign.com,isrg.trustid.ocsp.identrust.com,mscrl.microsoft.com,ocsp.digicert.com,ocsp.entrust.net,ocsp.globalsign.com,ocsp.int-x3.letsencrypt.org,ocsp.msocsp.com,ocsp.omniroot.com,ocsp2.globalsign.com,ocspx.digicert.com,s1.symcb.com,s2.symcb.com,sa.symcb.com,sd.symcb.com,secure.globalsign.com,sr.symcb.com,sr.symcd.com,su.symcb.com,su.symcd.com,vassg142.crl.omniroot.com,vassg142.ocsp.omniroot.com,www.digicert.com,www.microsoft.com",,"80,443",,False,Default,True,
126,Common,"Microsoft 365 Common and Office Online","officespeech.platform.bing.com",,"443",,False,Default,False,"Connection to the speech service is required for Office Dictation features. If connectivity is not allowed, Dictation will be disabled."
128,Common,"Microsoft 365 Common and Office Online","*.manage.microsoft.com,*.officeconfig.msocdn.com,config.office.com",,"443",,False,Default,False,"Blocking this endpoint will affect Office 365 ProPlus and other Click-to-Run deployment features in including deployment via Configuration Manager and Intune as well as Office policy management."
130,Common,"Microsoft 365 Common and Office Online","*.loki.delve.office.com,loki.delve.office.com,loki.delve-gcc.office.com,lpcres.delve.office.com",,"443",,False,Default,True,
145,Exchange,"Exchange Online","*.measure.office.com",,"80,443",,False,Default,False,"This Endpoint is used for Telemetry Purposes."
147,Common,"Microsoft 365 Common and Office Online","*.office.com",,"80,443",,False,Default,True,
148,Common,"Microsoft 365 Common and Office Online","cdnprod.myanalytics.microsoft.com,myanalytics.microsoft.com,myanalytics-gcc.microsoft.com",,"80,443",,False,Default,True,
149,Common,"Microsoft 365 Common and Office Online","workplaceanalytics.cdn.office.net,workplaceanalytics.office.com",,"80,443",,False,Default,True,
